task_type,domain,input_language,privacy_requirement,hardware_available,hallucination_tolerance,determinism_needed,temperature_pref,output_style,best_model,score_GPT-4o,score_Gemini,score_Claude-2,score_Llama-3-70B,score_Deepseek
extraction,legal,en,cloud,consumer_gpu,low,0,high,precise,Gemini,0.207,4.259,4.252,3.001,2.953
reasoning,technical,multi,cloud,pro_gpu,medium,0,low,formal,Claude-2,2.717,0.916,2.931,0.84,-0.532
classification,medical,pt,cloud,cpu,low,0,low,creative,Llama-3-70B,0.481,3.077,3.235,3.852,2.485
summarization,general,pt,hybrid,cpu,low,1,high,factual,Gemini,1.316,3.895,0.412,2.593,2.062
summarization,ecommerce,pt,local,pro_gpu,high,1,low,factual,Llama-3-70B,1.36,1.993,-1.734,3.529,3.45
reasoning,legal,pt,cloud,consumer_gpu,medium,1,medium,creative,GPT-4o,3.858,2.318,3.281,1.22,2.317
classification,general,en,local,pro_gpu,low,0,low,formal,Llama-3-70B,-1.062,-0.198,1.887,4.52,2.399
extraction,finance,pt,cloud,consumer_gpu,low,0,medium,creative,Deepseek,0.89,3.514,1.788,3.095,3.516
classification,technical,multi,local,edge,low,0,medium,factual,Llama-3-70B,-2.19,-0.457,1.636,3.663,2.254
reasoning,legal,en,hybrid,cpu,low,1,medium,factual,Claude-2,1.745,3.661,5.079,2.637,2.652
generation,finance,multi,hybrid,edge,high,1,low,formal,Deepseek,0.456,3.553,1.536,1.704,4.659
generation,legal,pt,cloud,consumer_gpu,high,1,low,creative,Gemini,2.05,4.869,1.164,1.846,4.559
extraction,finance,multi,hybrid,consumer_gpu,low,0,low,creative,Gemini,1.057,3.873,3.595,3.562,3.131
extraction,general,multi,hybrid,consumer_gpu,high,0,high,creative,Llama-3-70B,1.505,1.157,1.232,3.636,3.193
extraction,general,en,local,consumer_gpu,medium,1,low,precise,Llama-3-70B,-0.617,0.164,0.379,5.251,5.149
summarization,medical,en,cloud,consumer_gpu,medium,1,low,creative,Gemini,3.822,4.637,2.785,1.868,2.555
reasoning,ecommerce,multi,hybrid,cpu,low,1,low,precise,Claude-2,2.165,2.203,4.491,2.347,1.444
classification,legal,en,cloud,consumer_gpu,high,1,high,creative,Claude-2,1.825,2.329,4.286,3.596,2.155
extraction,medical,multi,cloud,pro_gpu,medium,0,low,formal,Llama-3-70B,1.143,2.595,2.485,3.331,1.697
generation,medical,multi,cloud,consumer_gpu,high,1,high,factual,Gemini,0.911,5.371,3.243,1.251,2.035
generation,general,pt,local,pro_gpu,low,0,medium,formal,Deepseek,-1.423,1.823,-1.469,2.512,4.271
generation,legal,multi,cloud,pro_gpu,high,0,low,creative,Gemini,1.772,4.612,2.717,1.711,2.424
summarization,ecommerce,pt,local,consumer_gpu,low,1,low,creative,Deepseek,1.312,2.403,-1.097,2.903,4.271
generation,medical,pt,hybrid,cpu,low,0,medium,factual,Gemini,-0.186,5.627,2.091,2.73,4.537
extraction,technical,pt,hybrid,cpu,low,0,medium,creative,Deepseek,0.552,1.045,-0.347,4.003,4.816
summarization,technical,en,local,consumer_gpu,high,0,medium,formal,Deepseek,1.463,0.627,-0.863,2.677,2.906
classification,finance,pt,hybrid,cpu,medium,1,medium,formal,Llama-3-70B,0.418,1.713,1.984,4.957,3.236
summarization,general,multi,cloud,consumer_gpu,low,1,medium,factual,Gemini,2.354,4.743,2.709,0.37,-0.571
extraction,medical,pt,cloud,edge,low,1,low,creative,Deepseek,0.627,2.395,1.337,2.168,5.67
extraction,finance,en,local,consumer_gpu,high,0,medium,formal,Llama-3-70B,-1.159,0.477,0.601,5.673,5.26
generation,general,multi,cloud,consumer_gpu,high,0,medium,factual,Gemini,0.933,3.605,1.569,1.353,1.581
classification,technical,en,local,consumer_gpu,low,1,high,precise,Llama-3-70B,-1.752,0.884,3.124,4.706,2.196
reasoning,medical,en,local,consumer_gpu,low,1,high,factual,Claude-2,0.403,2.453,4.058,3.089,3.155
summarization,ecommerce,multi,cloud,consumer_gpu,low,1,medium,formal,Gemini,2.315,3.988,1.352,0.295,-1.051
reasoning,ecommerce,multi,local,consumer_gpu,medium,0,high,factual,Llama-3-70B,0.75,0.026,1.414,2.912,1.526
summarization,technical,pt,cloud,consumer_gpu,high,1,low,formal,GPT-4o,3.588,3.013,0.033,1.302,1.104
generation,legal,pt,cloud,cpu,medium,0,medium,factual,Gemini,0.292,4.44,0.78,2.314,4.223
extraction,legal,multi,local,consumer_gpu,low,0,high,creative,Llama-3-70B,-0.777,1.632,1.817,4.752,4.627
classification,finance,pt,cloud,edge,high,1,low,formal,Deepseek,-0.09,1.77,2.418,2.856,3.175
classification,finance,pt,local,consumer_gpu,high,1,medium,factual,Llama-3-70B,-1.042,1.101,1.582,5.67,3.571
extraction,finance,pt,local,consumer_gpu,medium,0,high,precise,Llama-3-70B,-1.139,1.38,-0.239,5.663,5.626
extraction,finance,multi,cloud,consumer_gpu,high,1,low,precise,Llama-3-70B,1.134,3.388,3.649,3.922,2.296
generation,medical,multi,cloud,cpu,medium,0,high,formal,Gemini,0.223,3.956,1.582,2.409,2.76
classification,finance,en,cloud,consumer_gpu,low,0,medium,factual,Claude-2,0.456,4.42,6.365,3.163,1.261
extraction,technical,pt,hybrid,pro_gpu,medium,1,low,precise,Llama-3-70B,1.304,2.136,0.438,4.165,4.074
generation,finance,en,cloud,pro_gpu,high,0,medium,formal,Gemini,1.019,4.619,2.336,1.918,3.299
generation,finance,en,cloud,consumer_gpu,high,1,high,formal,Gemini,0.757,4.732,2.658,1.625,3.626
reasoning,legal,multi,cloud,edge,high,0,low,factual,Claude-2,1.998,2.021,4.215,0.365,1.695
summarization,finance,pt,cloud,consumer_gpu,low,1,medium,precise,Gemini,2.471,6.035,2.636,1.083,0.887
reasoning,medical,en,cloud,cpu,low,0,medium,formal,Claude-2,1.536,2.749,4.749,1.699,1.706
classification,technical,pt,local,edge,low,0,high,formal,Deepseek,-2.454,-1.29,-0.781,3.356,3.957
summarization,legal,en,local,consumer_gpu,low,1,high,precise,Gemini,0.562,4.495,2.372,2.968,2.996
generation,legal,multi,local,pro_gpu,low,0,medium,creative,Deepseek,-1.001,3.496,1.442,3.065,4.035
extraction,general,en,cloud,edge,medium,1,high,formal,Deepseek,0.104,0.307,-0.022,2.08,4.638
classification,ecommerce,multi,local,cpu,high,1,high,creative,Llama-3-70B,-1.18,-1.755,0.203,5.82,2.845
extraction,general,en,cloud,consumer_gpu,low,1,low,factual,Claude-2,0.805,3.1,3.29,2.992,3.231
reasoning,general,en,hybrid,consumer_gpu,medium,0,medium,formal,Claude-2,2.847,1.174,3.037,2.238,1.638
extraction,technical,en,local,edge,medium,1,medium,precise,Deepseek,-2.168,-1.42,-1.725,3.895,6.348
generation,legal,pt,cloud,consumer_gpu,medium,1,medium,creative,Gemini,1.73,4.568,1.375,1.69,4.085
reasoning,medical,pt,cloud,consumer_gpu,medium,1,medium,precise,Claude-2,2.82,3.298,3.436,1.866,1.736
extraction,general,multi,hybrid,cpu,high,1,medium,formal,Llama-3-70B,0.106,-0.143,0.471,4.577,3.348
reasoning,technical,multi,cloud,pro_gpu,low,1,low,factual,Claude-2,2.481,2.88,5.001,0.809,-0.79
summarization,medical,multi,cloud,consumer_gpu,high,1,medium,precise,Gemini,3.125,4.986,3.172,1.524,0.103
generation,technical,en,cloud,consumer_gpu,low,0,medium,creative,Gemini,1.342,3.775,1.693,0.756,3.266
extraction,technical,pt,cloud,pro_gpu,medium,1,low,formal,Llama-3-70B,1.15,1.61,-0.177,3.536,3.314
generation,legal,en,cloud,cpu,high,0,medium,creative,Deepseek,1.312,4.051,1.65,2.494,5.129
classification,ecommerce,en,local,cpu,medium,0,low,precise,Llama-3-70B,-1.526,-1.293,1.037,6.012,3.448
reasoning,finance,en,cloud,edge,medium,1,low,creative,Deepseek,2.763,1.392,3.746,0.944,4.3
reasoning,finance,pt,cloud,consumer_gpu,low,0,high,precise,Gemini,2.515,4.526,4.424,0.659,0.989
classification,legal,pt,cloud,consumer_gpu,high,0,high,factual,Llama-3-70B,1.077,3.193,3.287,3.482,1.239
reasoning,finance,en,hybrid,edge,medium,0,high,creative,Deepseek,2.834,1.573,3.312,1.197,4.288
summarization,technical,pt,cloud,cpu,low,0,high,creative,Gemini,2.387,3.391,-0.497,1.401,1.894
summarization,general,en,cloud,consumer_gpu,medium,0,low,precise,Gemini,2.841,3.679,1.493,0.889,0.76
generation,technical,en,cloud,cpu,medium,0,medium,creative,Deepseek,1.293,2.207,0.06,1.843,4.478
extraction,legal,multi,cloud,consumer_gpu,low,0,low,formal,Claude-2,0.456,3.623,3.652,2.894,1.385
generation,ecommerce,multi,local,edge,medium,0,medium,precise,Deepseek,-2.055,0.24,-1.603,2.273,5.329
reasoning,medical,multi,cloud,consumer_gpu,high,0,medium,precise,Claude-2,2.95,3.315,5.262,2.116,0.224
extraction,medical,pt,cloud,edge,high,0,high,precise,Deepseek,-0.026,2.009,0.379,2.541,4.849
extraction,general,pt,cloud,consumer_gpu,medium,0,high,factual,Llama-3-70B,0.716,1.571,-0.016,3.337,3.176
reasoning,general,en,cloud,consumer_gpu,high,0,low,precise,Claude-2,2.998,1.996,3.715,0.828,1.305
reasoning,technical,en,cloud,edge,high,0,medium,creative,Deepseek,2.808,-0.207,1.962,-0.175,2.923
generation,medical,en,cloud,pro_gpu,high,0,high,factual,Gemini,1.185,5.582,2.92,1.613,3.37
reasoning,general,pt,cloud,consumer_gpu,medium,1,low,formal,GPT-4o,3.203,1.182,1.627,1.31,1.134
generation,ecommerce,pt,hybrid,consumer_gpu,high,1,low,creative,Deepseek,2.054,3.29,-0.248,1.918,4.685
extraction,legal,multi,cloud,consumer_gpu,high,1,low,formal,Llama-3-70B,1.451,2.9,2.604,3.82,2.45
classification,finance,pt,local,cpu,high,1,high,precise,Llama-3-70B,-2.134,0.509,0.767,6.414,4.147
reasoning,finance,en,cloud,consumer_gpu,medium,0,high,formal,Claude-2,2.639,2.174,4.51,1.552,1.319
classification,medical,en,cloud,pro_gpu,medium,0,medium,precise,Claude-2,1.128,2.868,5.187,3.258,1.37
extraction,ecommerce,multi,cloud,cpu,high,1,medium,precise,Llama-3-70B,0.209,0.728,0.823,4.001,2.185
extraction,ecommerce,en,cloud,consumer_gpu,low,0,high,factual,Claude-2,0.667,2.474,2.806,2.788,2.006
summarization,finance,pt,cloud,consumer_gpu,medium,1,high,formal,Gemini,2.841,4.615,0.959,1.574,1.379
reasoning,general,pt,cloud,consumer_gpu,low,1,low,factual,Claude-2,2.817,2.969,3.734,0.851,0.868
classification,technical,pt,cloud,consumer_gpu,low,0,medium,precise,Claude-2,0.418,2.602,3.113,2.579,0.416
generation,ecommerce,multi,cloud,cpu,medium,1,medium,factual,Gemini,0.258,3.315,1.074,1.735,2.54
extraction,general,multi,cloud,consumer_gpu,medium,0,high,creative,Llama-3-70B,1.618,0.592,0.798,2.626,2.13
reasoning,general,multi,local,cpu,low,1,low,creative,Llama-3-70B,0.704,-0.165,1.565,3.556,2.966
generation,general,en,cloud,consumer_gpu,low,1,high,formal,Gemini,0.058,4.047,2.154,0.204,2.729
summarization,legal,pt,local,consumer_gpu,high,0,medium,formal,Llama-3-70B,1.068,2.417,-0.873,3.954,3.536
summarization,finance,multi,cloud,consumer_gpu,low,1,medium,formal,Gemini,2.55,5.408,3.33,1.166,-0.671
classification,finance,en,hybrid,consumer_gpu,medium,1,medium,precise,Claude-2,1.014,3.104,5.296,4.367,2.508
summarization,finance,en,cloud,consumer_gpu,medium,1,high,precise,Gemini,2.898,5.146,3.004,1.411,1.575
classification,technical,en,cloud,consumer_gpu,high,0,high,factual,Claude-2,1.151,1.516,3.874,3.271,1.083
generation,legal,multi,local,cpu,low,1,high,formal,Deepseek,-1.925,2.545,0.451,3.444,4.599
classification,technical,multi,cloud,pro_gpu,low,1,high,formal,Claude-2,0.631,1.989,4.056,2.275,-0.511
classification,medical,en,local,cpu,low,1,high,precise,Llama-3-70B,-2.274,1.422,3.545,5.896,3.845
summarization,medical,en,hybrid,consumer_gpu,medium,0,medium,creative,Gemini,3.542,4.594,2.876,2.569,3.319
summarization,legal,multi,local,edge,high,1,low,factual,Deepseek,0.198,2.302,0.475,2.811,4.019
classification,medical,multi,cloud,consumer_gpu,high,1,high,factual,Claude-2,0.662,3.506,5.168,3.415,-0.202
generation,general,multi,cloud,cpu,high,1,high,formal,Gemini,-0.131,2.365,0.215,1.542,2.041
classification,technical,en,hybrid,consumer_gpu,medium,0,low,creative,Llama-3-70B,1.633,1.334,2.948,3.499,2.451
classification,medical,en,cloud,cpu,high,0,medium,factual,Claude-2,0.145,1.861,4.389,4.254,2.439
generation,technical,multi,local,consumer_gpu,high,0,medium,creative,Deepseek,0.07,1.225,-1.054,2.779,4.715
reasoning,ecommerce,en,hybrid,consumer_gpu,high,1,low,factual,Claude-2,3.312,2.003,3.995,2.14,2.071
reasoning,legal,en,cloud,consumer_gpu,high,1,low,factual,Claude-2,3.185,3.391,5.493,1.691,1.657
generation,legal,pt,hybrid,pro_gpu,low,0,high,creative,Gemini,1.221,5.449,2.301,1.27,4.718
classification,medical,pt,hybrid,pro_gpu,low,0,high,formal,Claude-2,0.749,3.085,3.931,3.726,1.518
extraction,legal,pt,cloud,cpu,high,0,medium,formal,Deepseek,0.044,1.478,0.55,4.487,4.554
summarization,ecommerce,en,local,cpu,low,0,low,precise,Llama-3-70B,-0.156,1.674,-0.205,3.398,3.056
summarization,ecommerce,en,cloud,consumer_gpu,low,1,high,creative,Gemini,3.343,3.952,1.925,0.642,1.289
classification,finance,en,local,consumer_gpu,low,1,high,formal,Llama-3-70B,-1.572,1.732,3.284,5.123,3.119
extraction,general,multi,local,pro_gpu,high,1,medium,creative,Llama-3-70B,-0.362,-0.935,-1.25,5.185,4.163
classification,finance,en,cloud,cpu,high,1,low,creative,Llama-3-70B,1.095,2.21,3.859,4.318,2.989
generation,ecommerce,pt,cloud,consumer_gpu,high,1,medium,precise,Gemini,1.121,3.444,0.551,0.584,3.339
reasoning,ecommerce,multi,cloud,pro_gpu,low,0,medium,factual,Claude-2,2.542,2.681,4.591,0.58,-1.008
summarization,finance,en,local,consumer_gpu,high,0,medium,factual,Deepseek,1.221,3.223,1.23,3.427,3.489
generation,technical,en,cloud,cpu,medium,0,low,creative,Deepseek,0.962,1.858,-0.07,1.949,4.534
classification,finance,pt,local,consumer_gpu,low,0,high,precise,Llama-3-70B,-1.537,2.204,2.77,4.892,2.844
classification,finance,en,hybrid,edge,medium,0,medium,precise,Claude-2,0.039,2.004,4.282,2.959,4.006
generation,general,multi,cloud,cpu,medium,0,low,precise,Gemini,0.295,2.951,1.097,2.133,2.503
extraction,medical,pt,local,consumer_gpu,medium,0,high,precise,Deepseek,-1.368,0.944,-0.425,5.505,5.604
classification,legal,en,local,consumer_gpu,medium,1,low,formal,Llama-3-70B,-0.845,0.837,2.649,5.678,3.519
summarization,ecommerce,multi,cloud,cpu,high,0,low,formal,GPT-4o,2.015,1.93,0.005,2.011,0.11
reasoning,finance,en,cloud,consumer_gpu,high,1,high,creative,Claude-2,4.226,2.599,4.537,1.328,2.34
classification,legal,pt,local,cpu,low,1,medium,factual,Llama-3-70B,-2.415,1.424,2.412,5.781,4.03
reasoning,ecommerce,en,cloud,cpu,high,0,medium,factual,Claude-2,2.059,0.893,3.254,1.675,2.162
classification,medical,multi,local,consumer_gpu,high,1,low,formal,Llama-3-70B,-0.558,0.688,2.926,5.995,2.424
reasoning,ecommerce,pt,cloud,consumer_gpu,low,0,medium,precise,Claude-2,2.186,2.555,3.15,0.485,0.624
generation,general,pt,cloud,consumer_gpu,low,1,high,formal,Gemini,0.536,3.733,0.576,0.622,2.612
extraction,ecommerce,multi,local,cpu,high,0,medium,creative,Llama-3-70B,-0.884,-1.633,-1.708,5.786,4.668
reasoning,general,en,cloud,consumer_gpu,high,1,medium,creative,GPT-4o,3.786,1.042,3.054,0.745,1.484
reasoning,general,en,cloud,edge,medium,1,low,factual,Claude-2,2.511,0.992,3.136,0.306,2.806
classification,legal,en,cloud,consumer_gpu,medium,1,high,precise,Claude-2,1.188,3.097,5.219,3.408,1.413
summarization,medical,pt,cloud,consumer_gpu,high,0,medium,precise,Gemini,2.938,5.244,1.604,1.751,1.321
summarization,legal,pt,cloud,cpu,high,0,high,creative,Gemini,2.863,3.612,0.489,2.339,3.206
summarization,technical,en,cloud,consumer_gpu,high,1,high,precise,Gemini,2.703,3.753,1.878,1.016,1.213
generation,legal,en,cloud,consumer_gpu,medium,1,high,creative,Gemini,1.597,4.782,2.96,1.427,4.111
generation,ecommerce,pt,cloud,consumer_gpu,low,1,medium,creative,Gemini,1.491,4.316,0.395,0.416,3.144
classification,ecommerce,multi,cloud,consumer_gpu,high,0,medium,formal,Llama-3-70B,0.731,0.816,2.799,2.846,-0.507
generation,ecommerce,en,cloud,edge,medium,0,medium,creative,Deepseek,0.747,2.31,-0.2,0.197,5.157
extraction,technical,pt,cloud,pro_gpu,medium,0,medium,precise,Llama-3-70B,0.99,1.835,-0.025,3.076,3.033
generation,finance,en,local,consumer_gpu,low,1,low,precise,Deepseek,-1.102,4.558,2.991,3.172,5.194
classification,ecommerce,multi,cloud,consumer_gpu,high,0,medium,creative,Llama-3-70B,1.575,0.889,2.873,3.238,0.484
extraction,technical,pt,hybrid,consumer_gpu,high,1,low,creative,Deepseek,1.886,1.134,-0.106,3.99,4.927
generation,ecommerce,en,local,consumer_gpu,low,0,high,factual,Deepseek,-1.459,2.397,1.01,2.859,4.377
extraction,medical,pt,cloud,cpu,low,1,medium,formal,Deepseek,-0.378,2.757,1.267,3.932,4.202
summarization,legal,pt,cloud,pro_gpu,low,0,high,precise,Gemini,2.465,6.04,2.424,0.854,0.993
extraction,legal,multi,cloud,cpu,high,0,high,factual,Llama-3-70B,0.559,2.296,2.445,4.297,3.038
classification,finance,en,local,cpu,medium,1,high,factual,Llama-3-70B,-1.295,0.294,2.302,6.509,4.436
summarization,ecommerce,pt,cloud,pro_gpu,medium,0,medium,factual,Gemini,3.369,3.817,0.128,1.118,1.222
reasoning,medical,en,cloud,consumer_gpu,low,0,high,formal,Claude-2,2.664,3.601,5.713,1.234,1.276
generation,general,multi,cloud,consumer_gpu,low,0,medium,creative,Gemini,1.33,3.967,2.029,0.741,1.537
summarization,medical,en,hybrid,cpu,medium,0,low,factual,Gemini,2.274,4.321,2.406,3.356,3.138
generation,general,en,cloud,consumer_gpu,low,1,low,precise,Gemini,0.809,4.728,3.149,0.929,3.233
summarization,general,en,hybrid,pro_gpu,high,1,low,formal,Gemini,3.238,3.344,1.35,2.415,2.081
classification,medical,en,local,cpu,high,1,medium,creative,Llama-3-70B,-1.044,-0.178,1.737,6.211,5.039
classification,general,en,cloud,cpu,high,1,low,precise,Llama-3-70B,0.715,0.995,3.227,3.96,2.339
summarization,medical,pt,cloud,consumer_gpu,high,1,low,creative,Gemini,3.695,4.688,1.375,2.113,2.487
reasoning,ecommerce,multi,cloud,consumer_gpu,low,0,medium,factual,Claude-2,2.389,3.076,4.41,0.06,-0.912
classification,ecommerce,en,cloud,consumer_gpu,high,0,high,precise,Claude-2,0.9,1.496,3.842,3.049,0.887
classification,ecommerce,multi,cloud,edge,high,0,medium,factual,Claude-2,-0.256,0.874,2.83,1.98,1.369
classification,technical,en,hybrid,consumer_gpu,low,1,low,precise,Claude-2,0.586,2.695,4.862,3.591,1.649
summarization,technical,multi,local,pro_gpu,high,1,low,creative,Llama-3-70B,1.952,1.37,-0.95,3.589,2.484
generation,ecommerce,en,local,cpu,high,1,high,factual,Deepseek,-1.577,0.969,-1.009,3.914,5.89
summarization,legal,pt,local,edge,low,1,low,creative,Deepseek,0.629,3.066,-0.661,2.442,5.482
summarization,general,en,hybrid,consumer_gpu,high,1,medium,creative,GPT-4o,3.988,2.865,1.36,1.792,2.214
summarization,medical,en,hybrid,cpu,high,1,medium,creative,Deepseek,2.926,3.564,1.868,2.969,3.711
generation,finance,en,local,pro_gpu,medium,1,low,factual,Deepseek,-1.078,3.41,1.015,3.483,5.952
reasoning,medical,multi,cloud,cpu,medium,0,medium,formal,Claude-2,2.357,1.785,3.507,2.29,0.799
extraction,medical,en,cloud,consumer_gpu,medium,1,medium,factual,Deepseek,0.768,3.501,3.375,3.456,3.505
summarization,technical,en,cloud,cpu,medium,1,medium,creative,GPT-4o,2.942,1.792,0.151,1.664,2.3
classification,technical,multi,cloud,consumer_gpu,high,0,low,formal,Claude-2,0.944,1.36,3.128,2.886,-0.385
extraction,technical,en,cloud,cpu,high,1,medium,factual,Deepseek,0.48,1.085,0.912,3.671,3.94
extraction,general,multi,cloud,consumer_gpu,medium,1,medium,creative,Llama-3-70B,1.779,1.179,1.127,3.21,2.093
extraction,legal,multi,cloud,consumer_gpu,medium,0,low,creative,Llama-3-70B,1.963,2.54,2.915,3.362,3.047
summarization,finance,multi,cloud,consumer_gpu,medium,1,high,factual,Gemini,3.04,5.07,3.103,1.436,0.085
summarization,ecommerce,en,local,edge,low,0,low,creative,Deepseek,0.305,0.885,-1.005,1.928,5.046
reasoning,legal,multi,cloud,cpu,high,1,high,precise,Claude-2,2.287,2.408,4.424,2.423,0.595
classification,ecommerce,multi,cloud,consumer_gpu,low,0,medium,formal,Claude-2,0.449,1.666,4.08,2.629,-1.097
classification,legal,pt,cloud,consumer_gpu,medium,1,medium,formal,Llama-3-70B,1.315,2.255,2.707,3.545,1.709
extraction,general,pt,cloud,edge,high,1,high,factual,Deepseek,0.337,0.608,-0.584,1.992,4.465
reasoning,ecommerce,pt,cloud,consumer_gpu,low,1,medium,precise,Claude-2,2.677,2.83,2.885,0.795,0.776
summarization,ecommerce,multi,cloud,pro_gpu,low,1,high,creative,Gemini,3.075,4.079,2.099,0.552,-0.41
classification,ecommerce,pt,cloud,cpu,high,0,medium,precise,Llama-3-70B,0.066,0.895,1.635,3.909,1.726
classification,medical,pt,local,consumer_gpu,low,1,high,creative,Llama-3-70B,-0.646,0.93,2.23,4.652,3.628
extraction,technical,pt,cloud,consumer_gpu,low,1,high,creative,Deepseek,0.976,1.741,0.732,2.406,3.269
classification,general,pt,hybrid,pro_gpu,medium,0,high,factual,Llama-3-70B,0.991,1.795,2.215,3.543,1.999
extraction,technical,pt,cloud,consumer_gpu,medium,1,medium,formal,Llama-3-70B,0.901,0.689,-0.586,3.3,3.17
reasoning,medical,en,cloud,cpu,medium,1,medium,factual,Claude-2,2.13,2.33,4.336,2.715,2.376
summarization,medical,multi,cloud,pro_gpu,medium,1,medium,formal,Gemini,3.086,4.706,2.548,1.448,-0.039
generation,ecommerce,multi,cloud,cpu,low,1,medium,formal,Gemini,-0.314,3.193,1.346,1.31,1.947
summarization,general,pt,cloud,consumer_gpu,high,1,low,formal,Gemini,3.284,3.316,-0.6,1.483,1.369
generation,ecommerce,multi,cloud,pro_gpu,medium,1,medium,precise,Gemini,1.2,3.121,2.118,0.972,1.722
reasoning,general,pt,hybrid,consumer_gpu,low,0,high,precise,Claude-2,2.292,2.823,2.989,1.175,1.683
classification,general,en,cloud,pro_gpu,high,1,medium,creative,Claude-2,1.662,1.043,3.174,3.099,1.73
classification,finance,pt,hybrid,pro_gpu,medium,1,low,factual,Llama-3-70B,1.373,3.981,3.988,4.64,2.81
classification,ecommerce,multi,cloud,consumer_gpu,low,1,high,factual,Claude-2,0.721,2.937,4.828,2.271,-0.673
extraction,medical,multi,local,cpu,low,1,medium,precise,Llama-3-70B,-2.529,1.461,1.249,5.787,4.366
extraction,medical,pt,cloud,consumer_gpu,high,0,low,creative,Deepseek,1.764,2.584,1.323,3.591,4.151
summarization,technical,en,local,consumer_gpu,low,0,medium,precise,Gemini,0.693,2.938,0.454,2.619,2.64
summarization,finance,multi,local,consumer_gpu,medium,1,high,precise,Llama-3-70B,0.94,3.475,1.17,3.525,1.965
reasoning,general,en,cloud,cpu,medium,1,high,creative,GPT-4o,2.903,-0.019,1.912,2.119,2.331
extraction,finance,en,hybrid,pro_gpu,high,0,high,creative,Deepseek,1.502,2.069,2.372,4.035,5.328
extraction,finance,pt,cloud,pro_gpu,medium,0,high,formal,Llama-3-70B,1.202,2.362,1.45,3.696,3.435
classification,ecommerce,multi,cloud,cpu,medium,1,low,factual,Llama-3-70B,0.0,1.658,2.922,3.771,0.805
summarization,finance,multi,local,edge,high,0,high,formal,Deepseek,0.488,1.777,-0.387,2.619,3.671
extraction,legal,multi,cloud,consumer_gpu,high,1,medium,formal,Llama-3-70B,1.152,2.556,2.521,3.487,1.849
reasoning,ecommerce,en,cloud,consumer_gpu,high,1,high,factual,Claude-2,2.944,1.361,3.68,0.802,0.779
summarization,legal,en,cloud,cpu,medium,1,high,formal,Gemini,2.236,3.978,1.884,1.986,2.102
reasoning,medical,en,cloud,edge,high,1,medium,creative,Deepseek,2.888,1.304,3.455,0.61,3.506
extraction,technical,multi,cloud,edge,medium,0,medium,creative,Deepseek,0.721,-0.267,-0.12,2.064,3.381
generation,technical,pt,cloud,consumer_gpu,medium,1,low,formal,Deepseek,1.388,3.296,-0.09,1.345,3.573
extraction,medical,multi,local,cpu,high,0,low,creative,Llama-3-70B,-1.075,-0.386,-0.276,6.409,5.51
extraction,legal,multi,cloud,cpu,medium,1,low,formal,Llama-3-70B,0.508,1.86,1.867,4.319,3.45
classification,ecommerce,pt,cloud,edge,medium,1,high,formal,Deepseek,-0.249,-0.139,0.356,2.179,2.441
generation,medical,en,local,edge,low,0,high,creative,Deepseek,-1.55,2.365,0.556,1.833,7.629
